case_id,edema_center,edema_radius,sigma_fat,sigma_muscle,sigma_edema,delta_sigma_max,estimated_edema_elements
case_029,"(-0.8163488507270813, -0.27600380778312683)",0.08354132473768669,0.023196854701288346,0.3509929658954078,0.04386291955986339,0.020666064858575046,48
case_030,"(-0.810542106628418, -0.49057266116142273)",0.07395988144885483,0.023921977862348627,0.3223859991003866,0.04160482139170337,0.017682843529354744,38
case_031,"(-0.6530991196632385, -0.5364072322845459)",0.06754817710315225,0.02066431252914412,0.3271020097572065,0.047496643544170596,0.026832331015026474,30
case_032,"(-0.6466902494430542, -0.6350381970405579)",0.08012705831678762,0.019861319665916085,0.3216166100399222,0.04168639996007869,0.021825080294162604,53
case_033,"(-0.5407260656356812, -0.6951107978820801)",0.095291565815423,0.020679012867304253,0.3606804677803939,0.046938664166542216,0.026259651299237963,69
case_034,"(-0.464478075504303, -0.8338339924812317)",0.05361900474733358,0.021124174243836134,0.3392237150839043,0.04646577791487224,0.025341603671036106,21
case_035,"(-0.4270149767398834, -0.8018305897712708)",0.09780507428930682,0.01990938176209953,0.3437534668782241,0.04620577600512976,0.026296394243030232,76
case_036,"(-0.25735896825790405, -0.9005001187324524)",0.08891285996737787,0.02390530217504093,0.3606965422616821,0.044706434413997624,0.020801132238956695,59
case_037,"(-0.12517936527729034, -0.8738394379615784)",0.07420196522701716,0.02082361926465231,0.34209233216073565,0.045954142386300106,0.025130523121647798,42
case_038,"(-0.01431469339877367, -0.8595783710479736)",0.06450329733495949,0.021446409790991605,0.3349599818733987,0.04636737923021977,0.024920969439228162,31
case_039,"(0.011180593632161617, -0.845068097114563)",0.05517175380506484,0.020841314397189357,0.35672897105655443,0.0478491188708152,0.027007804473625843,24
case_040,"(0.12714053690433502, -0.8708764910697937)",0.07924644424196792,0.023852270078944783,0.3172561571459989,0.04306248074104142,0.01921021066209664,49
case_041,"(0.3015439808368683, -0.8053097128868103)",0.050388416621785746,0.021199160826589018,0.34030778411751167,0.04837504448011148,0.02717588365352246,22
case_042,"(0.34522366523742676, -0.7649407982826233)",0.06904394166664643,0.0223134236676682,0.3343058449478171,0.04094328707934835,0.01862986341168015,30
case_043,"(0.4686744511127472, -0.8279201984405518)",0.08983237185385393,0.023467217636669663,0.3095334069196271,0.048823576821162555,0.02535635918449289,53
case_044,"(0.5494369268417358, -0.6404533386230469)",0.08563476304757839,0.02411011099458101,0.3605377598586044,0.04751529786694196,0.023405186872360952,49
case_045,"(0.6637362241744995, -0.629154622554779)",0.06003081724652298,0.022158699358169602,0.34096715517294823,0.04821814929710302,0.026059449938933416,30
case_046,"(0.7036453485488892, -0.5225425958633423)",0.05011704613437679,0.020972438597003724,0.3155042519448691,0.044800895466213714,0.02382845686920999,20
case_047,"(0.8499026894569397, -0.4417273700237274)",0.054296970847133544,0.02141212677923549,0.3282696983800531,0.04391517671754236,0.02250304993830687,21
case_048,"(0.8535057306289673, -0.3335382044315338)",0.0901564317702856,0.023831931285967986,0.3387019091244054,0.043455250845042204,0.019623319559074218,63
case_049,"(0.8205858469009399, -0.2341415137052536)",0.0827680555501689,0.023339324042967142,0.3422251147724704,0.04619625866340859,0.022856934620441447,47
case_050,"(0.9024975299835205, -0.10085596889257431)",0.08705747144553129,0.022857111766801393,0.36452889664616084,0.04168892553571389,0.0188318137689125,62
