case_id,edema_center_x,edema_center_y,edema_radius,sigma_fat_10khz,sigma_muscle_10khz,sigma_edema_10khz,delta_sigma_10khz,edema_elements,dv_shape,J_shape,best_epoch,best_loss,final_supervised_loss,final_data_loss,final_smoothness_loss,pred_delta_min,pred_delta_max,pred_delta_mean
case_040_v2,0.18075647950172424,-0.8881862163543701,0.03719259866289048,0.02427545189857483,0.3139233887195587,0.04170181602239609,0.01742636412382126,10,"(1040,)","(1040, 7901)",19845,0.0001999838132178411,3.074835603911197e-07,3.96931265633782e-10,3.6176456319481076e-07,0.0,0.01742636412382126,3.970802208641544e-05
case_041_v2,0.2414986491203308,-0.8642264604568481,0.039270801235069035,0.02196398936212063,0.31655415892601013,0.04950430244207382,0.027540313079953194,13,"(1040,)","(1040, 7901)",19964,0.0009362645796500146,1.4399494148165104e-06,4.738764491918346e-09,1.1616490382948541e-06,0.0,0.027540313079953194,9.760962711879984e-05
case_042_v2,0.35099586844444275,-0.8320407867431641,0.035800728989407636,0.021074328571558,0.3081885576248169,0.04159987345337868,0.02052554488182068,10,"(1040,)","(1040, 7901)",19779,0.0003467584610916674,5.332216801434697e-07,8.598303402607144e-09,5.018911792831204e-07,0.0,0.02052554488182068,5.196457641432062e-05
case_043_v2,0.4803163409233093,-0.7556887269020081,0.03565212593019188,0.02365514449775219,0.3335792124271393,0.04399789497256279,0.0203427504748106,10,"(1040,)","(1040, 7901)",6581,0.0004935735487379134,7.931982963782502e-07,1.5019470112065392e-09,4.3891455447919725e-07,0.0,0.0203427504748106,6.29275746177882e-05
case_044_v2,0.5657810568809509,-0.6987015604972839,0.035738811798913916,0.02162797749042511,0.3237467408180237,0.04631049931049347,0.02468252182006836,11,"(1040,)","(1040, 7901)",20000,1.0764123459239272e-07,1.0435380858042631e-12,3.904721879166573e-09,5.697767164747347e-07,0.0,0.02468252182006836,3.4383479942334816e-05
case_045_v2,0.6253576278686523,-0.6573219299316406,0.036486697123698134,0.022938456386327744,0.313677579164505,0.048705145716667175,0.025766689330339432,12,"(1040,)","(1040, 7901)",6280,0.0004415787407197058,2.872403229048359e-06,9.003122691808585e-09,7.275899065461999e-07,0.0,0.025766689330339432,6.130210385890678e-05
case_046_v2,0.7474637031555176,-0.5041602849960327,0.04463724913993322,0.024668514728546143,0.3735204041004181,0.04841809719800949,0.02374958246946335,15,"(1040,)","(1040, 7901)",19439,0.0006963136838749051,1.070832013283507e-06,2.3885082800489954e-09,7.679456075493363e-07,0.0,0.02374958246946335,9.018762648338452e-05
case_047_v2,0.8078027367591858,-0.39824527502059937,0.04194199048390274,0.021161366254091263,0.3432886004447937,0.04578988254070282,0.024628516286611557,13,"(1040,)","(1040, 7901)",8013,0.00028039704193361104,1.3485287126968615e-06,9.105188603086845e-09,4.388744798689004e-07,0.0,0.024628501385450363,5.3804556955583394e-05
case_048_v2,0.8351022601127625,-0.3336853086948395,0.04125334052892328,0.02346724458038807,0.3249107301235199,0.04237036406993866,0.01890311948955059,14,"(1040,)","(1040, 7901)",19920,0.00032355316216126084,4.97482460559695e-07,1.0122159999070846e-08,4.5612472376888036e-07,0.0,0.01890311948955059,5.9819485613843426e-05
case_049_v2,0.8741964101791382,-0.2390442043542862,0.03945314711856928,0.02222505770623684,0.3317224979400635,0.044084690511226654,0.021859632804989815,13,"(1040,)","(1040, 7901)",19669,0.0003933055268134922,6.047893066352117e-07,1.641051183831621e-09,5.285698421175766e-07,0.0,0.021859632804989815,6.364285218296573e-05
case_050_v2,0.894692063331604,-0.10947269201278687,0.044788810108401536,0.024731045588850975,0.33952873945236206,0.04409259557723999,0.019361549988389015,15,"(1040,)","(1040, 7901)",19922,0.00037027845974080265,5.693506182069541e-07,2.094203921387816e-09,4.784751013175992e-07,0.0,0.019361549988389015,6.617263716179878e-05
