case_id,edema_center,edema_radius,sigma_fat_curve,sigma_muscle_curve,sigma_edema_curve,sigma_fat,sigma_muscle,sigma_edema,delta_sigma_max,fat_scale,muscle_scale,edema_scale,estimated_edema_elements,inner_clearance,outer_clearance
case_041_v2,"(0.2414986491203308, -0.8642264604568481)",0.039270801235069035,"[0.02196398936212063, 0.023326275870203972, 0.02348790131509304, 0.023583147674798965, 0.023652415722608566, 0.023707253858447075]","[0.31655415892601013, 0.326761394739151, 0.3360770046710968, 0.34610775113105774, 0.3567236363887787, 0.367451012134552]","[0.04950430244207382, 0.05257473886013031, 0.052939027547836304, 0.05315370112657547, 0.05330982059240341, 0.05343342199921608]",0.02196398936212063,0.31655415892601013,0.04950430244207382,0.027540313079953194,0.962066934784815,0.9287743865942286,1.0841940944974902,13,0.05676905158362833,0.06474720701749481
case_042_v2,"(0.35099586844444275, -0.8320407867431641)",0.035800728989407636,"[0.021074328571558, 0.022381434217095375, 0.022536514326930046, 0.022627903148531914, 0.022694364190101624, 0.02274698205292225]","[0.3081885576248169, 0.31812605261802673, 0.3271954655647278, 0.33696115016937256, 0.34729647636413574, 0.3577403426170349]","[0.04159987345337868, 0.044180046766996384, 0.04448616877198219, 0.04466656595468521, 0.044797759503126144, 0.04490162432193756]",0.021074328571558,0.3081885576248169,0.04159987345337868,0.02052554488182068,0.923098012733071,0.9042296032672881,0.911079081832852,10,0.06590736618056159,0.06254392415402932
case_043_v2,"(0.4803163409233093, -0.7556887269020081)",0.03565212593019188,"[0.02365514449775219, 0.025122322142124176, 0.025296393781900406, 0.025398973375558853, 0.025473574176430702, 0.025532634928822517]","[0.3335792124271393, 0.3443354070186615, 0.35415202379226685, 0.36472228169441223, 0.37590911984443665, 0.38721340894699097]","[0.04399789497256279, 0.04672680422663689, 0.04705056920647621, 0.047241367399692535, 0.047380123287439346, 0.04748997464776039]",0.02365514449775219,0.3335792124271393,0.04399789497256279,0.0203427504748106,1.0361429053599014,0.9787260913664056,0.9635982193904099,10,0.05840278254951792,0.07034549495375231
case_044_v2,"(0.5657810568809509, -0.6987015604972839)",0.035738811798913916,"[0.02162797749042511, 0.022969422861933708, 0.023128576576709747, 0.023222366347908974, 0.023290572687983513, 0.023344572633504868]","[0.3237467408180237, 0.3341858983039856, 0.3437131643295288, 0.35397183895111084, 0.3648289442062378, 0.3758000433444977]","[0.04631049931049347, 0.049182843416929245, 0.04952362924814224, 0.049724455922842026, 0.04987050220370293, 0.04998612776398659]",0.02162797749042511,0.3237467408180237,0.04631049931049347,0.02468252182006836,0.9473489742208793,0.9498775151664424,1.0142465303485546,11,0.06193989513333531,0.06663513835428592
case_045_v2,"(0.6253576278686523, -0.6573219299316406)",0.036486697123698134,"[0.022938456386327744, 0.024361183866858482, 0.02452998049557209, 0.02462945319712162, 0.024701792746782303, 0.024759065359830856]","[0.313677579164505, 0.323792040348053, 0.33302298188209534, 0.3429626226425171, 0.35348203778266907, 0.36411190032958984]","[0.048705145716667175, 0.05172601714730263, 0.05208442360162735, 0.05229563266038895, 0.05244923382997513, 0.05257083475589752]",0.022938456386327744,0.313677579164505,0.048705145716667175,0.025766689330339432,1.0047505897435276,0.9203343805807432,1.066691710757712,12,0.06940856787758587,0.05767179688466284
case_046_v2,"(0.7474637031555176, -0.5041602849960327)",0.04463724913993322,"[0.024668514728546143, 0.02619854547083378, 0.02638007514178753, 0.026487048715353012, 0.02656484581530094, 0.026626436039805412]","[0.3735204041004181, 0.38556450605392456, 0.3965565264225006, 0.40839239954948425, 0.42091870307922363, 0.4335764944553375]","[0.04841809719800949, 0.051421165466308594, 0.05177745968103409, 0.051987424492836, 0.052140120416879654, 0.05226100608706474]",0.024668514728546143,0.3735204041004181,0.04841809719800949,0.02374958246946335,1.0805306287855234,1.0959141361173186,1.0604051760547188,15,0.055616396167918025,0.055174873475765884
case_047_v2,"(0.8078027367591858, -0.39824527502059937)",0.04194199048390274,"[0.021161366254091263, 0.02247387170791626, 0.022629590705037117, 0.02272135578095913, 0.022788092494010925, 0.02284092828631401]","[0.3432886004447937, 0.35435786843299866, 0.3644602298736572, 0.3753381371498108, 0.38685059547424316, 0.39848390221595764]","[0.04578988254070282, 0.048629939556121826, 0.048966892063617706, 0.04916545748710632, 0.0493098646402359, 0.0494241900742054]",0.021161366254091263,0.3432886004447937,0.04578988254070282,0.024628516286611557,0.9269104416826295,1.0072136071895275,1.002844574038083,13,0.0573790119725871,0.05879880382524261
case_048_v2,"(0.8351022601127625, -0.3336853086948395)",0.04125334052892328,"[0.02346724458038807, 0.024922769516706467, 0.025095457211136818, 0.02519722282886505, 0.025271231308579445, 0.025329822674393654]","[0.3249107301235199, 0.3353874087333679, 0.344948947429657, 0.355244517326355, 0.3661406338214874, 0.3771511912345886]","[0.04237036406993866, 0.044998329132795334, 0.0453101210296154, 0.04549385607242584, 0.04562747851014137, 0.045733269304037094]",0.02346724458038807,0.3249107301235199,0.04237036406993866,0.01890311948955059,1.0279126542474222,0.9532926635001693,0.9279536821907914,14,0.05675685683431786,0.060797244225873404
case_049_v2,"(0.8741964101791382, -0.2390442043542862)",0.03945314711856928,"[0.02222505770623684, 0.023603538051247597, 0.02376708574593067, 0.02386346273124218, 0.02393355406820774, 0.02398904412984848]","[0.3317224979400635, 0.3424188196659088, 0.3521808087825775, 0.3626922070980072, 0.3738167881965637, 0.3850581645965576]","[0.044084690511226654, 0.04681898280978203, 0.04714338853955269, 0.04733455926179886, 0.047473590821027756, 0.04758365824818611]",0.02222505770623684,0.3317224979400635,0.044084690511226654,0.021859632804989815,0.9735023620230256,0.9732784899652496,0.9654991128825091,13,0.06558150751169456,0.055570327988404555
case_050_v2,"(0.894692063331604, -0.10947269201278687)",0.044788810108401536,"[0.024731045588850975, 0.02626495435833931, 0.02644694223999977, 0.026554187759757042, 0.02663218230009079, 0.026693928986787796]","[0.33952873945236206, 0.35047677159309387, 0.36046847701072693, 0.3712272644042969, 0.3826135993003845, 0.394119530916214]","[0.04409259557723999, 0.04682737961411476, 0.0471518449485302, 0.04734304919838905, 0.04748210310935974, 0.04759219288825989]",0.024731045588850975,0.33952873945236206,0.04409259557723999,0.019361549988389015,1.0832696039076357,0.9961820856600158,0.9656722410009378,15,0.055392841653185365,0.05509552936145801
