case_id,edema_center_x,edema_center_y,edema_radius,sigma_fat,sigma_muscle,sigma_edema,delta_sigma_max,edema_elements,best_epoch,best_loss,final_supervised_loss,final_data_loss,final_smoothness_loss,pred_delta_min,pred_delta_max,pred_delta_mean
case_002,0.9251155257225037,0.16766680777072906,0.0768512328052432,0.020363699983772403,0.3366262437768986,0.04383718221809323,0.02347348223432083,46,4797,0.0012124581262469292,7.706370865889767e-07,0.001098630833439529,6.469193749580882e-07,0.0,0.023473482578992844,0.00016961692017503083
case_003,0.8958521485328674,0.17835023999214172,0.08879602617951785,0.02175102247484026,0.3214522330813649,0.04549126308314252,0.02374024060830226,66,4350,0.0005959281115792692,1.7966802943192306e-06,0.00037136359605938196,8.795772714620398e-07,0.0,0.023740241304039955,0.0002601937740109861
case_004,0.7759422659873962,0.3524807393550873,0.08559492730979452,0.023135586056375647,0.3301077658328311,0.049236282219554124,0.026100696163178477,47,2848,0.002891301177442074,1.4143319049253478e-06,0.002773688407614827,1.0696337540139211e-06,0.0,0.026100696995854378,0.00018164094944950193
case_005,0.8307849168777466,0.4819369912147522,0.08340954013400811,0.021853572416398948,0.3089786560735316,0.04188860542860793,0.02003503301220898,44,6775,0.0017359410412609577,1.5888872439973056e-07,0.001724007073789835,4.3278683392600215e-07,0.0,0.0200350321829319,0.0001218005854752846
case_006,0.7827613353729248,0.5233049392700195,0.0634148747267015,0.02123363157580787,0.33119126001037114,0.04472600230148227,0.0234923707256744,32,19862,0.0007663212018087506,3.4925633940474654e-07,0.0007138228393159807,5.632498982777179e-07,0.0,0.023492369800806046,0.00011002622341038659
case_007,0.60768061876297,0.6161026954650879,0.06018609463696134,0.022881166448809897,0.3272409316139788,0.04799033821255681,0.025109171763746916,29,3217,0.0014499332755804062,7.229194238789205e-07,0.0013423111522570252,9.153859537036624e-07,0.0,0.025109171867370605,0.00012154713476775214
case_008,0.6278489828109741,0.6698320508003235,0.086150084537639,0.02280298021748989,0.3155031688854331,0.04229917382227597,0.01949619360478608,59,13348,0.0015716605121269822,8.659577588332468e-07,0.0014415797777473927,6.131507461759611e-07,0.0,0.019496193155646324,0.0001900523784570396
case_009,0.47088080644607544,0.7563526630401611,0.07844619251638066,0.022902727665955875,0.3590895741094938,0.04463024197984506,0.021727514313889185,49,5237,0.0005484365974552929,1.5544022744506947e-06,0.0003153798752464354,8.517554874742927e-07,0.0,0.021727513521909714,0.00020727254741359502
case_010,0.36409246921539307,0.7874547243118286,0.07134846544845189,0.02228703886851723,0.35801992230428975,0.04621246488000531,0.023925426011488084,40,19998,0.0021689373534172773,1.5938968545015086e-06,0.0019296654500067234,1.1206376484551583e-06,0.0,0.023925425484776497,0.0001877506438177079
case_011,0.27441906929016113,0.812669575214386,0.0904711997624308,0.01993559847209893,0.33569678246780066,0.042431262055375764,0.022495663583276832,57,2867,0.003558184951543808,3.060464166537713e-07,0.003514277283102274,9.853803248915938e-07,0.0,0.022495662793517113,0.00017697644943837076
